30.03.2016 07:43:42 : USB-Диск не найден!
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000065.dat в E:\CB_IN\a3006960_065.epd
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000066.dat в E:\CB_IN\a3006960_066.esd
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000067.dat в E:\CB_IN\a3006960_067.esd
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000068.dat в E:\CB_IN\a3006960_068.epd
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000069.dat в E:\CB_IN\a3006960_069.esd
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000070.dat в E:\CB_IN\a3006960_070.esd
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000071.dat в E:\CB_IN\a3006960_071.epd
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000072.dat в E:\CB_IN\a3006960_072.epd
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000073.dat в E:\CB_IN\a3006960_073.esd
30.03.2016 07:52:39 : Копируем c:\uarm3\stg\acp\acp00000074.dat в E:\CB_IN\a3006960_074.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000075.dat в E:\CB_IN\a3006960_075.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000076.dat в E:\CB_IN\a3006960_076.epd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000077.dat в E:\CB_IN\a3006960_077.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000078.dat в E:\CB_IN\a3006960_078.epd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000079.dat в E:\CB_IN\a3006960_079.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000080.dat в E:\CB_IN\a3006960_080.epd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000081.dat в E:\CB_IN\a3006960_081.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000082.dat в E:\CB_IN\a3006960_082.epd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000083.dat в E:\CB_IN\a3006960_083.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000084.dat в E:\CB_IN\a3006960_084.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000085.dat в E:\CB_IN\a3006960_085.epd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000086.dat в E:\CB_IN\a3006960_086.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000087.dat в E:\CB_IN\a3006960_087.epd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000088.dat в E:\CB_IN\a3006960_088.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000089.dat в E:\CB_IN\a3006960_089.epd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000090.dat в E:\CB_IN\a3006960_090.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000091.dat в E:\CB_IN\a3006960_091.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000092.dat в E:\CB_IN\a3006960_092.esd
30.03.2016 07:52:40 : Копируем c:\uarm3\stg\acp\acp00000093.dat в E:\CB_IN\a3006960_093.esd
30.03.2016 07:52:40 : Всего скопировано: 29 файлов.
30.03.2016 09:16:45 : Копируем c:\uarm3\stg\acp\acp00000001.dat в E:\CB_IN\a3006960_001.esd
30.03.2016 09:16:45 : Копируем c:\uarm3\stg\acp\acp00000002.dat в E:\CB_IN\a3006960_002.esd
30.03.2016 09:16:45 : Копируем c:\uarm3\stg\acp\acp00000003.dat в E:\CB_IN\a3006960_003.epd
30.03.2016 09:16:45 : Копируем c:\uarm3\stg\acp\acp00000004.dat в E:\CB_IN\a3006960_004.esd
30.03.2016 09:16:46 : Копируем c:\uarm3\stg\acp\acp00000005.dat в E:\CB_IN\a3006960_005.esd
30.03.2016 09:16:46 : Всего скопировано: 5 файлов.
30.03.2016 09:42:56 : Копируем c:\uarm3\stg\acp\acp00000006.dat в E:\CB_IN\a3006960_006.epd
30.03.2016 09:42:56 : Копируем c:\uarm3\stg\acp\acp00000007.dat в E:\CB_IN\a3006960_007.esd
30.03.2016 09:42:56 : Копируем c:\uarm3\stg\acp\acp00000008.dat в E:\CB_IN\a3006960_008.epd
30.03.2016 09:42:56 : Копируем c:\uarm3\stg\acp\acp00000009.dat в E:\CB_IN\a3006960_009.esd
30.03.2016 09:42:56 : Всего скопировано: 4 файлов.
30.03.2016 10:06:07 : Копируем c:\uarm3\stg\acp\acp00000010.dat в E:\CB_IN\a3006960_010.esd
30.03.2016 10:06:08 : Копируем c:\uarm3\stg\acp\acp00000011.dat в E:\CB_IN\a3006960_011.epd
30.03.2016 10:06:08 : Копируем c:\uarm3\stg\acp\acp00000012.dat в E:\CB_IN\a3006960_012.esd
30.03.2016 10:06:08 : Копируем c:\uarm3\stg\acp\acp00000013.dat в E:\CB_IN\a3006960_013.esd
30.03.2016 10:06:08 : Всего скопировано: 4 файлов.
30.03.2016 10:22:29 : Копируем c:\uarm3\stg\acp\acp00000014.dat в E:\CB_IN\a3006960_014.epd
30.03.2016 10:22:29 : Копируем c:\uarm3\stg\acp\acp00000015.dat в E:\CB_IN\a3006960_015.esd
30.03.2016 10:22:29 : Копируем c:\uarm3\stg\acp\acp00000016.dat в E:\CB_IN\a3006960_016.esd
30.03.2016 10:22:29 : Копируем c:\uarm3\stg\acp\acp00000017.dat в E:\CB_IN\a3006960_017.esd
30.03.2016 10:22:29 : Всего скопировано: 4 файлов.
30.03.2016 10:34:39 : Копируем c:\uarm3\stg\acp\acp00000018.dat в E:\CB_IN\a3006960_018.esd
30.03.2016 10:34:39 : Копируем c:\uarm3\stg\acp\acp00000019.dat в E:\CB_IN\a3006960_019.esd
30.03.2016 10:34:39 : Всего скопировано: 2 файлов.
30.03.2016 11:03:07 : Копируем c:\uarm3\stg\acp\acp00000020.dat в E:\CB_IN\a3006960_020.epd
30.03.2016 11:03:07 : Копируем c:\uarm3\stg\acp\acp00000021.dat в E:\CB_IN\a3006960_021.esd
30.03.2016 11:03:08 : Копируем c:\uarm3\stg\acp\acp00000022.dat в E:\CB_IN\a3006960_022.epd
30.03.2016 11:03:08 : Копируем c:\uarm3\stg\acp\acp00000023.dat в E:\CB_IN\a3006960_023.esd
30.03.2016 11:03:08 : Копируем c:\uarm3\stg\acp\acp00000024.dat в E:\CB_IN\a3006960_024.esd
30.03.2016 11:03:08 : Копируем c:\uarm3\stg\acp\acp00000025.dat в E:\CB_IN\a3006960_025.esd
30.03.2016 11:03:08 : Всего скопировано: 6 файлов.
30.03.2016 11:21:56 : Копируем c:\uarm3\stg\acp\acp00000026.dat в E:\CB_IN\a3006960_026.esd
30.03.2016 11:21:56 : Копируем c:\uarm3\stg\acp\acp00000027.dat в E:\CB_IN\a3006960_027.esd
30.03.2016 11:21:56 : Копируем c:\uarm3\stg\acp\acp00000028.dat в E:\CB_IN\a3006960_028.epd
30.03.2016 11:21:56 : Копируем c:\uarm3\stg\acp\acp00000029.dat в E:\CB_IN\a3006960_029.esd
30.03.2016 11:21:56 : Всего скопировано: 4 файлов.
30.03.2016 11:51:36 : Копируем c:\uarm3\stg\acp\acp00000030.dat в E:\CB_IN\a3006960_030.esd
30.03.2016 11:51:36 : Копируем c:\uarm3\stg\acp\acp00000031.dat в E:\CB_IN\a3006960_031.epd
30.03.2016 11:51:37 : Копируем c:\uarm3\stg\acp\acp00000032.dat в E:\CB_IN\a3006960_032.esd
30.03.2016 11:51:37 : Копируем c:\uarm3\stg\acp\acp00000033.dat в E:\CB_IN\a3006960_033.esd
30.03.2016 11:51:37 : Всего скопировано: 4 файлов.
30.03.2016 12:14:01 : Копируем c:\uarm3\stg\acp\acp00000034.dat в E:\CB_IN\a3006960_034.epd
30.03.2016 12:14:01 : Копируем c:\uarm3\stg\acp\acp00000035.dat в E:\CB_IN\a3006960_035.esd
30.03.2016 12:14:01 : Всего скопировано: 2 файлов.
30.03.2016 12:29:19 : Копируем c:\uarm3\stg\acp\acp00000036.dat в E:\CB_IN\a3006960_036.esd
30.03.2016 12:29:19 : Копируем c:\uarm3\stg\acp\acp00000037.dat в E:\CB_IN\a3006960_037.epd
30.03.2016 12:29:19 : Копируем c:\uarm3\stg\acp\acp00000038.dat в E:\CB_IN\a3006960_038.esd
30.03.2016 12:29:19 : Всего скопировано: 3 файлов.
30.03.2016 12:47:35 : Копируем c:\uarm3\stg\acp\acp00000039.dat в E:\CB_IN\a3006960_039.esd
30.03.2016 12:47:35 : Копируем c:\uarm3\stg\acp\acp00000040.dat в E:\CB_IN\a3006960_040.epd
30.03.2016 12:47:35 : Копируем c:\uarm3\stg\acp\acp00000041.dat в E:\CB_IN\a3006960_041.esd
30.03.2016 12:47:35 : Копируем c:\uarm3\stg\acp\acp00000042.dat в E:\CB_IN\a3006960_042.esd
30.03.2016 12:47:35 : Всего скопировано: 4 файлов.
30.03.2016 12:55:51 : Копируем c:\uarm3\stg\acp\acp00000043.dat в E:\CB_IN\a3006960_043.esd
30.03.2016 12:55:51 : Копируем c:\uarm3\stg\acp\acp00000044.dat в E:\CB_IN\a3006960_044.esd
30.03.2016 12:55:51 : Всего скопировано: 2 файлов.
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000045.dat в E:\CB_IN\a3006960_045.esd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000046.dat в E:\CB_IN\a3006960_046.epd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000047.dat в E:\CB_IN\a3006960_047.esd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000048.dat в E:\CB_IN\a3006960_048.epd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000049.dat в E:\CB_IN\a3006960_049.esd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000050.dat в E:\CB_IN\a3006960_050.esd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000051.dat в E:\CB_IN\a3006960_051.epd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000052.dat в E:\CB_IN\a3006960_052.epd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000053.dat в E:\CB_IN\a3006960_053.esd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000054.dat в E:\CB_IN\a3006960_054.epd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000055.dat в E:\CB_IN\a3006960_055.esd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000056.dat в E:\CB_IN\a3006960_056.esd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000057.dat в E:\CB_IN\a3006960_057.esd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000058.dat в E:\CB_IN\a3006960_058.esd
30.03.2016 02:19:37 : Копируем c:\uarm3\stg\acp\acp00000059.dat в E:\CB_IN\a3006960_059.epd
30.03.2016 02:19:37 : Всего скопировано: 15 файлов.
30.03.2016 02:49:35 : Копируем c:\uarm3\stg\acp\acp00000060.dat в E:\CB_IN\a3006960_060.esd
30.03.2016 02:49:35 : Копируем c:\uarm3\stg\acp\acp00000061.dat в E:\CB_IN\a3006960_061.esd
30.03.2016 02:49:35 : Копируем c:\uarm3\stg\acp\acp00000062.dat в E:\CB_IN\a3006960_062.epd
30.03.2016 02:49:35 : Всего скопировано: 3 файлов.
30.03.2016 03:08:48 : Копируем c:\uarm3\stg\acp\acp00000063.dat в E:\CB_IN\a3006960_063.epd
30.03.2016 03:08:48 : Копируем c:\uarm3\stg\acp\acp00000064.dat в E:\CB_IN\a3006960_064.esd
30.03.2016 03:08:48 : Копируем c:\uarm3\stg\acp\acp00000065.dat в E:\CB_IN\a3006960_065.esd
30.03.2016 03:08:48 : Копируем c:\uarm3\stg\acp\acp00000066.dat в E:\CB_IN\a3006960_066.esd
